Title;Course_code;Credits;Period;Course_Level;Faculty;Course_Coordinator;Examiner;Teaching_Staff;Target_Audiences;Entry_Requirements;Course_Content;URL;;;;;;;;;
(De)Constructing Heritage in Architecture and Town Planning;L_KBMAERF006;6 EC;P1;400;English;Faculty of Humanities;drs. C. Smid;drs. C. Smid;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_KBMAERF006;;;;;;;;;
(Un)sustainable Amsterdam;R_UnSt;6 EC;P5;200;English;Faculty of Law;C. Kaupa;C. Kaupa;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_UnSt;;;;;;;;;
3D Visualization & Virtual Reconstruction;L_AAMAARC030;6 EC;P2;400;English;Faculty of Humanities;dr. H.L. Mickleburgh;dr. H.L. Mickleburgh;Extra curricular course for VU students, Secondary subject for non-VU students;NA;This is an UvA course. Please follow the link for the course description: Vak | UvA Studiegids 2024 - 2025;https://studiegids.vu.nl/en/courses/2024-2025/L_AAMAARC030;;;;;;;;;
Public Procurement Law;R_Aanb.r;6 EC;P1;500;Dutch;Faculty of Law;prof. mr. C.E.C. Jansen;prof. mr. C.E.C. Jansen;Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_Aanb.r;;;;;;;;;
Tort Law;R_AansprHR;6 EC;P1;300;Dutch;Faculty of Law;dr. mr. K.A.P.C. van Wees;dr. mr. K.A.P.C. van Wees;Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/R_AansprHR;;;;;;;;;
Types, Nature, Extent and Impact of Crime;R_AardOS;6 EC;P1;300;Dutch;Faculty of Law;dr. J.H. Kroese;dr. J.H. Kroese;;NA;Het vak Aard, omvang en schade van criminaliteit richt zich op thema’s uit de beschrijvende criminologie. Iedere week wordt de aard, omvang en schade van een ander criminaliteitsfenomeen besproken, zoals van georganiseerde criminaliteit, zedencriminaliteit, cybercriminaliteit, witteboordencriminaliteit en internationale misdrijven. Vragen die worden behandeld zijn: Hoe is deze vorm van criminaliteit te definiëren en welke problemen bestaan hierbij? Wat zijn de belangrijkste onderscheidende kenmerken van de criminaliteit? Op welke wijze is de criminaliteit te meten en welke problemen doen zich daarbij voor? In hoeverre is de criminaliteit schadelijk en voor wie? De literatuur bestaat uit sociaal wetenschappelijke, criminologisch relevante, literatuur.;https://studiegids.vu.nl/en/courses/2024-2025/R_AardOS;;;;;;;;;
Earth Materials;AB_450157;3 EC;P5;100;Dutch;Faculty of Science;prof. dr. W. van Westrenen;prof. dr. W. van Westrenen;Extra curricular course for VU students, Secondary subject for non-VU students, Open course;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/AB_450157;;;;;;;;;
Abdomen;AB_1182;6 EC;P3;200;Dutch;Faculty of Science;dr. M.W. van Emden;dr. M.W. van Emden;;NA;In deze cursus zullen de anatomie, fysiologie en enkele pathofysiologische aspecten van de buikorganen worden behandeld. Kennis en inzicht in de topografie van de buikorganen, peritoneale verhoudingen en de vascularisatie, innervatie en lymfedrainage van deze structuren zal worden behandeld tegen de achtergrond van enkele klinische problemen waarvan de pathofysiologie wordt behandeld. Op basis van enkele klachten die met de buikorganen te maken hebben, wordt tevens aandacht besteed aan het begrip ziekte en het geneeskundig proces.;https://studiegids.vu.nl/en/courses/2024-2025/AB_1182;;;;;;;;;
A Big Risk Experience;E_MFRM_BRE;6 EC;P3;300;English;School of Business and Economics;M.J. Hopman;M.J. Hopman;Extra curricular course for VU students, Secondary subject for non-VU students, Part of an Exchange Programme;Only students who have participated in the other four courses in the Minor Risk can participate in the Big Risk Experience.;After the gained knowledge in the four Risk Management courses, it is time to experience risk management in practice. There will be several topics regarding risk available where financial institutions has to deal with. With your group (2-5 students) you will identify, monitor and assess the problem.;https://studiegids.vu.nl/en/courses/2024-2025/E_MFRM_BRE;;;;;;;;;
Academic Citizenship Year 1;S_AC1;0 EC;Ac. Year (September);100;Dutch / English;Faculty of Social Sciences;W.B. de Jong MSc;W.B. de Jong MSc;;NA;Based on biannual workshops, the academic citizenship programme seeks to empower students to take ownership over their learning experiences;https://studiegids.vu.nl/en/courses/2024-2025/S_AC1;;;;;;;;;
Academic Citizenship Year 2;S_AC2;0 EC;Ac. Year (September);200;Dutch / English;Faculty of Social Sciences;W.B. de Jong MSc;W.B. de Jong MSc;;NA;Based on biannual workshops, the academic citizenship programme seeks to empower students to take ownership over their learning experiences and navigate their studies and the university in a personal, engaged, and responsible way. Additionally, the academic citizenship course comprises the election and training of student representatives as well as the mentorship programme in which students are paired with a mentor from the Anthropology department to discuss study progress and career perspectives.;https://studiegids.vu.nl/en/courses/2024-2025/S_AC2;;;;;;;;;
Academic English;L_EABAALG101;6 EC;P4;100;English;Faculty of Humanities;A.J. Gambrel;A.J. Gambrel;Extra curricular course for VU students, Secondary subject for non-VU students;NA;The course consists of a grammar and a writing component.;https://studiegids.vu.nl/en/courses/2024-2025/L_EABAALG101;;;;;;;;;
Academic English CIS-L&S Grammar;L_EABAALG103;3 EC;P2;100;English;Faculty of Humanities;A.J. Gambrel;A.J. Gambrel;Extra curricular course for VU students, Secondary subject for non-VU students;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_EABAALG103;;;;;;;;;
Academic English CIS-L&S Writing;L_EABAALG104;3 EC;P3;100;English;Faculty of Humanities;A.J. Gambrel;A.J. Gambrel;Secondary subject for non-VU students;NA;A lecture series focusing on the characteristics of written academic;https://studiegids.vu.nl/en/courses/2024-2025/L_EABAALG104;;;;;;;;;
Academic English MKDA;L_EABAALG102;6 EC;P4;100;English;Faculty of Humanities;A.J. Gambrel;A.J. Gambrel;Secondary subject for non-VU students;NA;The course for students of MKDA consists of a grammar and a writing;https://studiegids.vu.nl/en/courses/2024-2025/L_EABAALG102;;;;;;;;;
Academic Knowledge and Skills;E_PM_AKS;6 EC;P4;300;English;School of Business and Economics;dr. E.P. Graamans;dr. E.P. Graamans;;NA;This course Academic Knowledge and Skills helps the premaster students in making the transition from a practice orientation to a theory;https://studiegids.vu.nl/en/courses/2024-2025/E_PM_AKS;;;;;;;;;
Academic Paper;E_PM_AP;6 EC;P4+5+6;300;English;School of Business and Economics;dr. S. El Baroudi;dr. S. El Baroudi;;NA;Academic Paper is the capstone course of the premaster programme. In your academic paper you report on a piece of research that you have conducted. The academic paper is written in accordance;https://studiegids.vu.nl/en/courses/2024-2025/E_PM_AP;;;;;;;;;
Academic Presenting;G_RMACPR;6 EC;P4+5+6;600;English;Faculty of Religion and Theology;prof. dr. C.A.M. van den Berg;prof. dr. C.A.M. van den Berg;Extra curricular course for VU students, Secondary subject for non-VU students;NA;This course reflects on the whole process of presenting an academic;https://studiegids.vu.nl/en/courses/2024-2025/G_RMACPR;;;;;;;;;
Academic Skills;E_EBE1_ACSK;6 EC;P3;100;English;School of Business and Economics;dr. G.P. Melker;dr. G.P. Melker;Secondary subject for non-VU students, Part of an Exchange Programme;NA;The Academic Skills course is part of the Academic Core of the Economics and Business Economics program. The course is aimed at developing your general research skills. This is done on the basis of a current economic social debate. In a team you will write an academic essay that is based on an extensive analysis of arguments (pro and con).;https://studiegids.vu.nl/en/courses/2024-2025/E_EBE1_ACSK;;;;;;;;;
Academic Skills;E_IBA1_ACSK;6 EC;P1;100;English;School of Business and Economics;dr. S. El Baroudi;dr. S. El Baroudi;Secondary subject for non-VU students;NA;In order to develop yourself as an academic in an international landscape you need to be able to critically reflect on, write about, and eventually also conduct research. In this course you will develop a fundamental skills set that enables you to thrive as an academic throughout your further studies and career. Understanding the academic world and developing related skills starts with understanding the academic community. Fundamental aspects of this community are related to different perspectives on research, the art of critical reasoning, and the language of science. In this course you will reflect on different perspectives on research, start applying academic skills through critical reasoning and writing, and work on doing this in fluent academic English.;https://studiegids.vu.nl/en/courses/2024-2025/E_IBA1_ACSK;;;;;;;;;
Academic Skills: Probability and Inference;E_EOR1_ACSK;6 EC;P6;100;English;School of Business and Economics;dr. Y. Lin;dr. Y. Lin;Secondary subject for non-VU students;NA;• Practice implementing exercises in software in a matrix-oriented environment.;https://studiegids.vu.nl/en/courses/2024-2025/E_EOR1_ACSK;;;;;;;;;
Academic Skills 1;L_ELBALESAV1;3 EC;P2;100;English;Faculty of Humanities;dr. P.S. Cameron-Gardos;dr. P.S. Cameron-Gardos;;NA;Set up as a mini-thesis trajectory, this module (together with Academic Skills 2) teaches students how to conduct and write about research in the field of literary studies. In Academic Skills 1, students are introduced to particular aspects of the research and writing process (topic delineation, finding sources, MLA citation style, structuring an essay, paragraph writing), and they submit short written assignments on each of these aspects.;https://studiegids.vu.nl/en/courses/2024-2025/L_ELBALESAV1;;;;;;;;;
Academic Skills 2;L_ELBALESAV2;3 EC;P3;100;English;Faculty of Humanities;dr. L.N. Mark;dr. L.N. Mark;;NA;This module teaches students how to conduct and write about research in the field of literary studies.;https://studiegids.vu.nl/en/courses/2024-2025/L_ELBALESAV2;;;;;;;;;
Academic Skills Arts and Culture (English);L_AABAKACACV;6 EC;P2;100;English;Faculty of Humanities;dr. G. Schwake;dr. G. Schwake;;NA;An academic education is not just a matter of acquiring new knowledge and insights. It is also important to develop a number of skills needed for doing research in an academic setting and for communicating it both verbally and visually.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAKACACV;;;;;;;;;
Academic Skills Communication and Information Studies;L_AABAALGAV9;6 EC;P2+3;100;English;Faculty of Humanities;dr. R. Falahati Ardestani;dr. R. Falahati Ardestani;Extra curricular course for VU students;NA;In the academic world you are dealing with all sorts of information. In;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAALGAV9;;;;;;;;;
Academic Skills for Historians;L_AABAGESACS;6 EC;P1;100;English;Faculty of Humanities;dr. L.M. Poy López;dr. L.M. Poy López;Extra curricular course for VU students, Secondary subject for non-VU students;NA;During your studies, you will conduct independent research based on scientific literature and primary sources from the past. You will also present the results of your research to others in an accessible and understandable manner, by writing essays and a thesis. A crucial first step in this process is to be able to describe clearly and accurately what scholars before you have written about the subject, and what questions remain unanswered. This is called the ‘status quaestionis’. During this course, you will acquire the necessary skills to write a good status quaestionis with proper annotations, which results in a relevant research question.;https://studiegids.vu.nl/en/courses/2024-2025/L_AABAGESACS;;;;;;;;;
Academic Skills for Pre-Masters;L_AAPMALGAC1;3 EC;P1;100;English;Faculty of Humanities;dr. A. Martonfi;dr. A. Martonfi;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AAPMALGAC1;;;;;;;;;
Academic Skills Lab;S_ASL;6 EC;P1;100;English;Faculty of Social Sciences;dr. P.G.A. Versteeg;dr. P.G.A. Versteeg;;NA;In the Academic Skills Lab you will learn to understand humans in relation to social and cultural contexts by using anthropological concepts. To accomplish this you will develop skills to read and analyse anthropological literature effectively and relate it to particular contexts, situations, or groups. You will learn how to identify particular parts of anthropological texts and you will learn how to write anthropologically. You will also learn to present literature, you will complete assignments that will develop your academic skills, and you will learn to collaborate with your fellow students. This course is mainly focused on practicing reading and writing skills that are essential to the discipline of Anthropology.;https://studiegids.vu.nl/en/courses/2024-2025/S_ASL;;;;;;;;;
Academic Skills pre-Master's;L_AAPMARC101;12 EC;P1+2+3;100;English;Faculty of Humanities;M. van Oeveren MA;;;NA;NA;https://studiegids.vu.nl/en/courses/2024-2025/L_AAPMARC101;;;;;;;;;
Academic Skills Workshop Political Science 1;S_ASWPS1;6 EC;P1;100;English;Faculty of Social Sciences;mr. G.P. Luteijn MA;mr. G.P. Luteijn MA;;NA;The objective of this course is to develop academic skills. Through reading assignments, writing assignments and active discussion, students learn how an academic text is structured, how concepts form the building blocks of theories and how to present arguments for a particular theoretical position. Furthermore, the course consists of several writing workshops emphasizing how to paraphrase and cite various sources as well as how to formulate an academic puzzle.;https://studiegids.vu.nl/en/courses/2024-2025/S_ASWPS1;;;;;;;;;
Academic Skills Workshop Political Science 2;S_ASWPS2;6 EC;P2+3;100;English;Faculty of Social Sciences;mr. G.P. Luteijn MA;mr. G.P. Luteijn MA;;NA;The objective of this course is to develop academic skills. Through reading assignments, writing assignments and active discussion, students learn how an academic text is structured, how concepts form the building blocks of theories and how to present arguments for a particular theoretical position. Furthermore, the course consists of several writing workshops emphasizing how to paraphrase and cite various sources as well as how to formulate an academic puzzle.;https://studiegids.vu.nl/en/courses/2024-2025/S_ASWPS2;;;;;;;;;
Academic Writing;G_RMACWR;6 EC;P4;600;English;Faculty of Religion and Theology;dr. M. Dorobantu;dr. M. Dorobantu;Secondary subject for non-VU students;NA;In a series of tutorials, students learn the structure, format and style of academic writing. In addition to the compulsory homework reading and the teacher's presentations, students also learn from peer-reviewing each other's draft article.;https://studiegids.vu.nl/en/courses/2024-2025/G_RMACWR;;;;;;;;;
Academic Writing: Neurosciences;AM_1123;3 EC;P4;400;English;Faculty of Science;dr. G.A. Dreschler;dr. G.A. Dreschler;;NA;The course will start off by ensuring that you are up to speed in terms of the macrostructural and discursive features of academic texts in general and the specific kind of text you are writing in the content of the Neurosciences programme. Centre stage is then given to aspects of coherent text and to linguistic devices that English uses to express complex ideas: we introduce basic principles, give you practice in analysing and reformulating defective text segments, and give you a checklist that you can use when editing your own text. The idea underlying this approach is that writing essentially involves rewriting and rewriting.;https://studiegids.vu.nl/en/courses/2024-2025/AM_1123;;;;;;;;;
Academic Writing (BETA);L_ETBAALG006;3 EC;P5;100;English;Faculty of Humanities;dr. G.A. Dreschler;dr. G.A. Dreschler;;NA;In the course, we will focus on generic skills that are relevant for academic writing: creating an appropriate formal style and using standard academic phrases and creating a clear structure for your text. You will write a text about a topic from your discipline, based on academic sources, using a referencing style that is standard in your discipline. We will also pay attention to general principles of good writing, such as guiding the reader through the text and creating a good flow in the text. We will address these topics in such a way that you will be able to apply these principles in any text that you write after following the course.;https://studiegids.vu.nl/en/courses/2024-2025/L_ETBAALG006;;;;;;;;;
Academic Writing for CS;XB_0075;3 EC;P3;100;English;Faculty of Science;dr. G.A. Dreschler;dr. G.A. Dreschler;;NA;In the course, we will focus on generic skills that are relevant for academic writing: creating an appropriate formal style and using standard academic phrases and creating a clear structure for your text. You will write a text about a topic from your discipline, based on academic sources, using a referencing style that is standard in your discipline. We will also pay attention to general principles of good writing, such as guiding the reader through the text and creating a good flow in the text. We will address these topics in such a way that you will be able to apply these principles in any text that you write after following the course.;https://studiegids.vu.nl/en/courses/2024-2025/XB_0075;;;;;;;;;
Academic Writing for Global Health;AM_1247;6 EC;P2;500;English;Faculty of Science;dr. M. Takahashi;dr. M. Takahashi;Extra curricular course for VU students, Secondary subject for non-VU students, Open course, Part of an Exchange Programme;Successfully completed Research Methods in Global Health;Academic literature reviews are an informative synthesis of a particular;https://studiegids.vu.nl/en/courses/2024-2025/AM_1247;;;;;;;;;
Academic Writing Lab;R_AcaO;6 EC;P3+4+5+6;600;English;Faculty of Law;dr. mr. L.D.A. Corrias;dr. mr. L.D.A. Corrias;;NA;This course is part of the Research Track (RT, see below Other;https://studiegids.vu.nl/en/courses/2024-2025/R_AcaO;;;;;;;;;
Academic Skills;S_AVBO;6 EC;P1;100;Dutch;Faculty of Social Sciences;dr. H.C. Bruns MA;dr. H.C. Bruns MA;;NA;Wetenschappelijke teksten onderscheiden zich van andere teksten door een helder betoog, soms empirische data, en formele schrijfstijl met bronvermeldingen. Het lezen, begrijpen en in eigen woorden weergeven van wetenschappelijke teksten ligt aan de basis van wetenschapsbeoefening. In dit vak ontwikkelen studenten deze academische vaardigheden. We behandelen thema’s en theorieën die relevant zijn voor de parallelvakken in het eerste jaar van bestuurs- en organisatiewetenschap.;https://studiegids.vu.nl/en/courses/2024-2025/S_AVBO;;;;;;;;;
Academic Skills;AB_450238;3 EC;P2;100;Dutch;Faculty of Science;dr. F.M. Brouwer;dr. F.M. Brouwer;;Ardennenveldwerk (onderdeel van AB_450010 Eigenschappen van Gesteenten);NA;https://studiegids.vu.nl/en/courses/2024-2025/AB_450238;;;;;;;;;
Academic Skills;E_BK1_ACV;6 EC;P3;100;Dutch;School of Business and Economics;dr. C. Moser;dr. C. Moser;Secondary subject for non-VU students;NA;In deze cursus verdiep je je kennis over de kenmerken van academisch verantwoorde praktijken. Je leert onderscheid te maken tussen verschillende vormen van kennisverwerving en rapportage. Vervolgens ontwikkel je je academische vaardigheden verder door je nieuwe kennis toe te passen bij het schrijven van een academisch werkstuk.;https://studiegids.vu.nl/en/courses/2024-2025/E_BK1_ACV;;;;;;;;;
